ФИО,"Баллы, ед.","Баллы, %",Баллы по ключевым навыкам,labels
ФИО_478,100,"77,88","77,88",1
ФИО_123,100,"77,88","77,88",1
ФИО_220,100,"77,88","77,88",1
ФИО_330,100,"81,83","81,83",10
ФИО_564,100,"81,83","81,83",10
ФИО_573,100,"81,83","81,83",10
ФИО_175,100,"70,78","70,78",1
ФИО_332,100,"70,78","70,78",1
ФИО_344,100,"70,78","70,78",1
ФИО_173,100,"63,23","63,23",1
ФИО_617,100,"63,23","63,23",1
ФИО_708,100,"63,23","63,23",1
ФИО_205,100,"51,8","51,8",8
ФИО_671,100,"51,8","51,8",8
ФИО_674,100,"51,8","51,8",8
ФИО_342,100,2,2,-1
ФИО_551,100,2,2,-1
ФИО_232,100,"5,73","5,73",13
ФИО_417,100,"5,73","5,73",13
ФИО_97,100,"4,8","4,8",1
ФИО_200,100,"4,8","4,8",1
ФИО_138,100,"4,03","4,03",1
ФИО_643,100,"4,03","4,03",1
ФИО_167,100,"11,41","11,41",1
ФИО_588,100,"11,41","11,41",1
ФИО_211,100,"17,28","17,28",5
ФИО_466,100,"17,28","17,28",5
ФИО_457,100,"9,58","9,58",1
ФИО_660,100,"9,58","9,58",1
ФИО_51,100,"13,64","13,64",1
ФИО_98,100,"13,64","13,64",1
ФИО_411,100,"10,23","10,23",1
ФИО_667,100,"10,23","10,23",1
ФИО_337,100,"4,58","4,58",13
ФИО_590,100,"4,58","4,58",13
ФИО_218,100,"68,2","68,2",1
ФИО_489,100,"68,2","68,2",1
ФИО_490,100,"68,2","68,2",1
ФИО_602,100,"68,2","68,2",1
ФИО_293,100,"65,57","65,57",1
ФИО_458,100,"65,57","65,57",1
ФИО_460,100,"65,57","65,57",1
ФИО_611,100,"65,57","65,57",1
ФИО_99,100,"40,31","40,31",8
ФИО_112,100,"40,31","40,31",8
ФИО_467,100,"40,31","40,31",8
ФИО_548,100,"40,31","40,31",8
ФИО_368,100,"82,07","82,07",10
ФИО_433,100,"82,07","82,07",10
ФИО_462,100,"82,07","82,07",10
ФИО_683,100,"82,07","82,07",10
ФИО_135,100,"55,99","55,99",7
ФИО_189,100,"55,99","55,99",7
ФИО_349,100,"55,99","55,99",7
ФИО_542,100,"55,99","55,99",7
ФИО_106,100,"86,61","86,61",16
ФИО_258,100,"86,61","86,61",16
ФИО_455,100,"86,61","86,61",16
ФИО_497,100,"86,61","86,61",16
ФИО_30,100,"79,37","79,37",15
ФИО_102,100,"79,37","79,37",15
ФИО_251,100,"79,37","79,37",15
ФИО_294,100,"79,37","79,37",15
ФИО_11,100,"64,1","64,1",1
ФИО_162,100,"64,1","64,1",1
ФИО_266,100,"64,1","64,1",1
ФИО_438,100,"64,1","64,1",1
ФИО_36,5,,,-1
ФИО_114,5,,,-1
ФИО_286,5,,,-1
ФИО_427,5,,,-1
ФИО_19,5,,,14
ФИО_31,5,,,14
ФИО_79,5,,,14
ФИО_536,5,,,14
ФИО_182,5,,,8
ФИО_219,5,,,8
ФИО_356,5,,,8
ФИО_694,5,,,8
ФИО_48,5,,,8
ФИО_63,5,,,8
ФИО_376,5,,,8
ФИО_456,5,,,8
ФИО_27,"62,02",,,-1
ФИО_132,"62,02",,,-1
ФИО_556,"62,02",,,-1
ФИО_625,"62,02",,,-1
ФИО_111,5,,,11
ФИО_133,5,,,11
ФИО_139,5,,,11
ФИО_254,5,,,11
ФИО_184,5,,,14
ФИО_244,5,,,14
ФИО_452,5,,,14
ФИО_24,5,,,6
ФИО_56,5,,,6
ФИО_130,5,,,6
ФИО_700,5,,,6
ФИО_85,"54,385",,,-1
ФИО_296,"54,385",,,-1
ФИО_446,"54,385",,,-1
ФИО_486,"54,385",,,-1
ФИО_28,"54,71",,,-1
ФИО_331,"54,71",,,-1
ФИО_400,"54,71",,,-1
ФИО_589,"54,71",,,-1
ФИО_227,5,,,-1
ФИО_235,5,,,-1
ФИО_334,5,,,-1
ФИО_597,5,,,-1
ФИО_9,5,,,0
ФИО_190,5,,,0
ФИО_525,5,,,0
ФИО_621,5,,,0
ФИО_335,"31,33333333",,,17
ФИО_449,"31,33333333",,,17
ФИО_171,"44,61333333",,,1
ФИО_228,"44,61333333",,,1
ФИО_198,"40,59111111",,,12
ФИО_529,"40,59111111",,,12
ФИО_584,"49,94111111",,,7
ФИО_613,"49,94111111",,,7
ФИО_412,"42,88555556",,,7
ФИО_635,"42,88555556",,,7
ФИО_87,"44,57",,,1
ФИО_638,"44,57",,,1
ФИО_662,"43,21333333",,,5
ФИО_685,"43,21333333",,,5
ФИО_289,"40,58333333",,,1
ФИО_657,"40,58333333",,,1
ФИО_267,"37,11333333",,,11
ФИО_577,"37,11333333",,,11
ФИО_10,"38,02",,,11
ФИО_249,"38,02",,,11
ФИО_72,100,"73,33","73,33",5
ФИО_305,100,"73,33","73,33",5
ФИО_480,100,"60,92","60,92",1
ФИО_512,100,"60,92","60,92",1
ФИО_283,100,"42,75","42,75",1
ФИО_686,100,"42,75","42,75",1
ФИО_679,100,"71,58","71,58",7
ФИО_701,100,"71,58","71,58",7
ФИО_504,100,"44,17","44,17",14
ФИО_575,100,"44,17","44,17",14
ФИО_274,100,"47,42","47,42",14
ФИО_307,100,"47,42","47,42",14
ФИО_50,100,"45,84","45,84",13
ФИО_453,100,"45,84","45,84",13
ФИО_315,100,"45,5","45,5",13
ФИО_343,100,"45,5","45,5",13
ФИО_37,100,"56,81","56,81",1
ФИО_90,100,"23,76","23,76",-1
ФИО_136,100,"28,37","28,37",8
ФИО_360,100,"56,95","56,95",10
ФИО_377,100,"38,05","38,05",1
ФИО_384,100,"48,38","48,38",1
ФИО_398,100,"62,8","62,8",16
ФИО_439,100,"57,71","57,71",10
ФИО_445,100,"31,61","31,61",6
ФИО_469,100,"50,96","50,96",1
ФИО_487,100,"45,48","45,48",12
ФИО_493,100,"60,91","60,91",16
ФИО_500,100,"63,66","63,66",16
ФИО_507,100,"39,52","39,52",1
ФИО_550,100,"42,8","42,8",1
ФИО_559,100,"46,68","46,68",1
ФИО_593,100,"47,67","47,67",12
ФИО_634,100,"42,11","42,11",1
ФИО_324,100,"89,85","89,85",5
ФИО_375,100,"89,85","89,85",5
ФИО_144,100,37,37,17
ФИО_301,100,37,37,17
ФИО_26,100,"72,05","72,05",2
ФИО_158,100,"72,05","72,05",2
ФИО_4,100,48,48,11
ФИО_681,100,48,48,11
ФИО_18,100,"85,35","85,35",3
ФИО_402,100,"85,35","85,35",3
ФИО_71,100,"45,05","45,05",4
ФИО_225,100,"45,05","45,05",4
ФИО_156,100,"60,7","60,7",1
ФИО_210,100,"58,5","58,5",1
ФИО_239,100,"85,7","85,7",5
ФИО_347,100,"57,8","57,8",1
ФИО_378,100,89,89,5
ФИО_502,100,"50,4","50,4",11
ФИО_533,100,"54,5","54,5",14
ФИО_544,100,"54,7","54,7",14
ФИО_420,100,"74,25","74,25",15
ФИО_690,100,"74,25","74,25",15
ФИО_321,100,"66,31","66,31",15
ФИО_698,100,"66,31","66,31",15
ФИО_598,100,"58,71","58,71",6
ФИО_655,100,"58,71","58,71",6
ФИО_285,100,"57,68","57,68",7
ФИО_291,100,"57,68","57,68",7
ФИО_55,100,"64,96","64,96",12
ФИО_345,100,"64,96","64,96",12
ФИО_103,100,"67,04","67,04",1
ФИО_689,100,"67,04","67,04",1
ФИО_410,100,"75,22","75,22",-1
ФИО_526,100,"75,22","75,22",-1
ФИО_432,100,"58,04","58,04",1
ФИО_540,100,"58,04","58,04",1
ФИО_54,100,"44,88","44,88",1
ФИО_518,100,"44,88","44,88",1
ФИО_261,100,"31,57","31,57",6
ФИО_473,100,"31,57","31,57",6
ФИО_94,100,"44,91","44,91",1
ФИО_474,100,"44,91","44,91",1
ФИО_35,100,"51,27","51,27",10
ФИО_69,100,"51,27","51,27",10
ФИО_359,100,"49,36","49,36",9
ФИО_468,100,"49,36","49,36",9
ФИО_367,100,"43,52","43,52",1
ФИО_594,100,"43,52","43,52",1
ФИО_370,100,"64,11","64,11",-1
ФИО_530,100,"64,11","64,11",-1
ФИО_7,100,"43,45","43,45",1
ФИО_606,100,"43,45","43,45",1
ФИО_68,100,"9,8","9,8",8
